"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","eps_dim","seed","kl_loss","max_mmd","recon_loss"
"eps_dim512_rng3","qh9j63gr","finished","-","pgp","","2023-01-21T17:52:16.000Z","173","yvhm88ge","512","4","2.1077399253845215","0.5149996280670166","0.0001807785010896623"
"eps_dim512_rng2","qh9j63gr","finished","-","pgp","","2023-01-21T17:49:18.000Z","174","yvhm88ge","512","3","2.0535383224487305","0.5307822227478027","0.0001811678084777668"
"eps_dim512_rng1","qh9j63gr","finished","-","pgp","","2023-01-21T17:46:20.000Z","174","yvhm88ge","512","2","2.337627649307251","0.4520107507705689","0.00017541387933306396"
"eps_dim512_rng0","qh9j63gr","finished","-","pgp","","2023-01-21T17:43:20.000Z","176","yvhm88ge","512","1","2.2027626037597656","0.5095902681350708","0.000181968163815327"
"eps_dim256_rng4","qh9j63gr","finished","-","pgp","","2023-01-21T17:40:20.000Z","176","yvhm88ge","512","0","2.1104631423950195","0.5179698467254639","0.0001800234313122928"
"eps_dim256_rng3","qh9j63gr","finished","-","pgp","","2023-01-21T17:38:07.000Z","130","yvhm88ge","256","4","2.986205577850342","0.3311505913734436","0.00016399916785303503"
"eps_dim256_rng2","qh9j63gr","finished","-","pgp","","2023-01-21T17:35:50.000Z","136","yvhm88ge","256","3","2.8242928981781006","0.343242347240448","0.0001665627642069012"
"eps_dim256_rng1","qh9j63gr","finished","-","pgp","","2023-01-21T17:33:32.000Z","132","yvhm88ge","256","2","3.0038652420043945","0.31446510553359985","0.00016633656923659146"
"eps_dim256_rng0","qh9j63gr","finished","-","pgp","","2023-01-21T17:31:20.000Z","131","yvhm88ge","256","1","3.0177714824676514","0.3213294744491577","0.00016361213056370616"
"eps_dim128_rng4","qh9j63gr","finished","-","pgp","","2023-01-21T17:29:03.000Z","136","yvhm88ge","256","0","2.993490219116211","0.33248472213745117","0.00016667621093802154"
"eps_dim128_rng3","qh9j63gr","finished","-","pgp","","2023-01-21T17:27:11.000Z","107","yvhm88ge","128","4","3.172349214553833","0.2982445955276489","0.00016049723490141332"
"eps_dim128_rng2","qh9j63gr","finished","-","pgp","","2023-01-21T17:25:19.000Z","106","yvhm88ge","128","3","3.155439615249634","0.30932390689849854","0.00016463483916595578"
"eps_dim128_rng1","qh9j63gr","finished","-","pgp","","2023-01-21T17:23:11.000Z","122","yvhm88ge","128","2","3.269648313522339","0.2993690073490143","0.00015933618124108762"
"eps_dim128_rng0","qh9j63gr","finished","-","pgp","","2023-01-21T17:21:19.000Z","106","yvhm88ge","128","1","3.4369142055511475","0.2931499183177948","0.00015670765424147248"
"eps_dim64_rng4","qh9j63gr","finished","-","pgp","","2023-01-21T17:19:32.000Z","105","yvhm88ge","128","0","3.266469955444336","0.2870982587337494","0.0001628546742722392"
"eps_dim64_rng3","qh9j63gr","finished","-","pgp","","2023-01-21T17:17:50.000Z","98","yvhm88ge","64","4","3.576885223388672","0.26780709624290466","0.00015342184633482248"
"eps_dim64_rng2","qh9j63gr","finished","-","pgp","","2023-01-21T17:16:12.000Z","97","yvhm88ge","64","3","3.483048915863037","0.2721557021141052","0.00015892514784354717"
"eps_dim64_rng1","qh9j63gr","finished","-","pgp","","2023-01-21T17:14:33.000Z","97","yvhm88ge","64","2","3.499469757080078","0.2688007354736328","0.00015673780580982566"
"eps_dim64_rng0","qh9j63gr","finished","-","pgp","","2023-01-21T17:12:51.000Z","99","yvhm88ge","64","1","3.732758283615112","0.25726351141929626","0.00015570965479128063"
"eps_dim32_rng4","qh9j63gr","finished","-","pgp","","2023-01-21T17:11:09.000Z","99","yvhm88ge","64","0","3.4378104209899902","0.2720991373062134","0.00015512763638980687"
"eps_dim32_rng3","qh9j63gr","finished","-","pgp","","2023-01-21T17:09:32.000Z","91","yvhm88ge","32","4","3.7284798622131343","0.2501252591609955","0.0001532864844193682"
"eps_dim32_rng2","qh9j63gr","finished","-","pgp","","2023-01-21T17:07:55.000Z","92","yvhm88ge","32","3","3.710955858230591","0.25767746567726135","0.0001526086707599461"
"eps_dim32_rng1","qh9j63gr","finished","-","pgp","","2023-01-21T17:06:19.000Z","92","yvhm88ge","32","2","3.8088059425354","0.26149457693099976","0.00015296292258426547"
"eps_dim32_rng0","qh9j63gr","finished","-","pgp","","2023-01-21T17:04:47.000Z","90","yvhm88ge","32","1","3.7288103103637695","0.2635287642478943","0.00015573110431432724"
"eps_dim4_rng4","qh9j63gr","finished","-","pgp","","2023-01-21T17:03:10.000Z","93","yvhm88ge","32","0","3.727362155914306","0.2591972351074219","0.00015391298802569509"
"eps_dim4_rng3","qh9j63gr","finished","-","pgp","","2023-01-21T17:01:39.000Z","86","yvhm88ge","4","4","1.869465947151184","0.4162460863590241","0.00018248078413307667"
"eps_dim4_rng2","qh9j63gr","finished","-","pgp","","2023-01-21T17:00:07.000Z","87","yvhm88ge","4","3","1.862431526184082","0.4160168766975403","0.00018299344810657203"
"eps_dim4_rng1","qh9j63gr","finished","-","pgp","","2023-01-21T16:58:36.000Z","86","yvhm88ge","4","2","1.8799424171447752","0.4203096330165863","0.00018358761735726148"
"eps_dim4_rng0","qh9j63gr","finished","-","pgp","","2023-01-21T16:57:04.000Z","86","yvhm88ge","4","1","1.876744270324707","0.4183371663093567","0.00018242522492073476"
"linear_decoder_sweep","qh9j63gr","finished","-","pgp","","2023-01-21T16:55:22.000Z","97","yvhm88ge","4","0","1.8908257484436035","0.41809433698654175","0.00018106034258380532"
